web-scraper-order,web-scraper-start-url,Linking,Linking-href
"1685315150-1","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Young Polish Artists
                            
                            21 December 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1242AMS155 
                                    

                                    
                                        Auction turnover :
                                        440,760 PLN","https://desa.pl/en/art-auctions-results/young-polish-artists-ae2i/"
"1685315150-2","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Magical Art. Surrealism and Magic Realism
                            
                            20 December 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1241ASW115
                                    

                                    
                                        Auction turnover :
                                        386,040 PLN","https://desa.pl/en/art-auctions-results/magical-art-surrealism-and-magic-realism-t2c8/"
"1685315150-4","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Old Masters. 19th Century and Modern Art • 2nd Session
                            
                            15 December 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1234ASD233
                                    

                                    
                                        Auction turnover :
                                        4,239,600 PLN","https://desa.pl/en/art-auctions-results/old-masters-19th-century-and-modern-art-2nd-session-mwed/"
"1685315150-5","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Henryk Hayden. Transformations
                            
                            14 December 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1233MON012
                                    

                                    
                                        Auction turnover :
                                        3,675,840 PLN","https://desa.pl/en/art-auctions-results/henryk-hayden/"
"1685315150-6","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Jewellery. Masterpieces of Art of 19th and 20th Century
                            
                            13 December 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1232ABD045
                                    

                                    
                                        Auction turnover :
                                        642,120 PLN","https://desa.pl/en/art-auctions-results/bizuteria/"
"1685315150-7","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Old Masters, 19th Century and Modern Art • Session I
                            
                            8 December 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1229ASD232
                                    

                                    
                                        Auction turnover :
                                        43,750,800 PLN","https://desa.pl/en/art-auctions-results/sztuka-dawna-xix-wiek-modernizm-miedzywojnie-i-sesja/"
"1685315150-8","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Art Now. Curator's choice
                            
                            7 December 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1228AMS154
                                    

                                    
                                        Auction turnover :
                                        256,200 PLN","https://desa.pl/en/art-auctions-results/art-now-curators-choice-2pfs/"
"1685315150-9","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Comics. Art from the collection Serafin & Soroka
                            
                            6 December 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1227KOM020
                                    

                                    
                                        Auction turnover :
                                        263,880 PLN","https://desa.pl/en/art-auctions-results/komiks-kolekcja/"
"1685315150-10","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Post-War & Contemporary Art
                            
                            1 December 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1224ASW114
                                    

                                    
                                        Auction turnover :
                                        17,251,800 PLN","https://desa.pl/en/art-auctions-results/post-war-contemporary-art-xqys/"
"1685315150-11","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Polish Contemporary Art
                            
                            29 November 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1222ANS037
                                    

                                    
                                        Auction turnover :
                                        2,543,280 PLN","https://desa.pl/en/art-auctions-results/polish-contemporary-art-yuqk/"
"1685315150-12","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Young Polish Artists
                            
                            28 November 2022 7 PM CET
                                    
                                        Auction location: Piękna 1A
Warszawa
                                    

                                        Auction code: 1221AMS153
                                    

                                    
                                        Auction turnover :
                                        241,320 PLN","https://desa.pl/en/art-auctions-results/young-polish-artists-ck5x/"
"1685315150-13","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Post-War & Contemporary Art. Abstractionists
                            
                            24 November 2022 8 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1218ASW113
                                    

                                    
                                        Auction turnover :
                                        1,066,320 PLN","https://desa.pl/en/art-auctions-results/post-war-contemporary-art-abstractionists/"
"1685315150-14","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Post-War & Contemporary. Op-Art & Geometric Abstraction
                            
                            24 November 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1217ASW112
                                    

                                    
                                        Auction turnover :
                                        12,204,000 PLN","https://desa.pl/en/art-auctions-results/post-war-contemporary-art-op-art-geometric-abstraction/"
"1685315150-15","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Alfred Lenica. Interpretation of Movement
                            
                            22 November 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1215MON011
                                    

                                    
                                        Auction turnover :
                                        1,925,400 PLN","https://desa.pl/en/art-auctions-results/alfred-lenica-interpretation-of-movement/"
"1685315150-16","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Works on Paper Post-War And Contemporary Art 
                            
                            17 November 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1211APP115
                                    

                                    
                                        Auction turnover :
                                        899,640 PLN","https://desa.pl/en/art-auctions-results/works-on-paper-post-war-and-contemporary-art-9jsq/"
"1685315150-17","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Polish glass
                            
                            16 November 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1209DES020
                                    

                                    
                                        Auction turnover :
                                        329,160 PLN","https://desa.pl/en/art-auctions-results/polish-glass/"
"1685315150-18","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Works on Paper. 19th Century and Modern Art
                            
                            15 November 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1209APP114
                                    

                                    
                                        Auction turnover :
                                        2,111,880 PLN","https://desa.pl/en/art-auctions-results/works-on-paper-19th-century-and-modern-art-y8ko/"
"1685315150-19","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Jewellery. Masterpieces of Art of 19th and 20th Century
                            
                            14 November 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1202ABD044
                                    

                                    
                                        Auction turnover :
                                        447,240 PLN","https://desa.pl/en/art-auctions-results/jewellery-masterpieces-of-art-of-19th-and-20th-century-3idz/"
"1685315150-20","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Art of Old Poland
                            
                            9 November 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1205ASD231
                                    

                                    
                                        Auction turnover :
                                        617,760 PLN","https://desa.pl/en/art-auctions-results/art-of-old-poland/"
"1685315150-21","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Collector Photography. Fame, Celebrities, Personalities
                            
                            8 November 2022 8 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1205FOT031
                                    

                                    
                                        Auction turnover :
                                        71,880 PLN","https://desa.pl/en/art-auctions-results/fotografia-kolekcjonerska-slawy-gwiazdy-osobowosci/"
"1685315150-22","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Collector Photography. Classics and artistic avant-garde
                            
                            8 November 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1203FOT030
                                    

                                    
                                        Auction turnover :
                                        455,640 PLN","https://desa.pl/en/art-auctions-results/collector-photography-classics-and-artistic-avant-garde/"
"1685315150-23","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Young Polish Artists
                            
                            7 November 2022 7 PM CET
                                    
                                        Auction location: Piękna 1A
Warszawa
                                    

                                        Auction code: 1202AMS152
                                    

                                    
                                        Auction turnover :
                                        275,040 PLN","https://desa.pl/en/art-auctions-results/young-polish-artists-x9hd/"
"1685315150-24","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Street Art
                            
                            3 November 2022 7 PM CET
                                    
                                        Auction location: ul. Piękna 1A, Warszawa
                                    

                                        Auction code: 1199ANS036
                                    

                                    
                                        Auction turnover :
                                        215,880 PLN","https://desa.pl/en/art-auctions-results/sztuka-ulicy-jesien/"
"1685315150-25","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Modern and Contemporary Sculpture
                            
                            27 October 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1196ARZ020
                                    

                                    
                                        Auction turnover :
                                        6,452,160 PLN","https://desa.pl/en/art-auctions-results/modern-and-contemporary-sculpture-d2qf/"
"1685315150-26","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Magical Art. Surrealism & Magical Realism
                            
                            25 October 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1194ASW111
                                    

                                    
                                        Auction turnover :
                                        781,320 PLN","https://desa.pl/en/art-auctions-results/magical-art-surrealism-magical-realism/"
"1685315150-27","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Young Polish Artists
                            
                            24 October 2022 7 PM CET
                                    
                                        Auction location: Piękna 1A
Warszawa
                                    

                                        Auction code: 1197AMS151
                                    

                                    
                                        Auction turnover :
                                        301,440 PLN","https://desa.pl/en/art-auctions-results/young-polish-artists-pr74/"
"1685315150-28","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Grażyna Kulczyk Collection. Discoveries
                            
                            20 October 2022 8 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1192KOL034
                                    

                                    
                                        Auction turnover :
                                        1,440,000 PLN","https://desa.pl/en/art-auctions-results/grazyna-kulczyk-collection-discoveries/"
"1685315150-29","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Grażyna Kulczyk Collection. Blow-up
                            
                            20 October 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1191KOL033
                                    

                                    
                                        Auction turnover :
                                        1,298,400 PLN","https://desa.pl/en/art-auctions-results/grazyna-kulczyk-collection-blow-up/"
"1685315150-30","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Grażyna Kulczyk Collection. Passion. Markowski - Chlanda - Szewczyk
                            
                            19 October 2022 8 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1190KOL032
                                    

                                    
                                        Auction turnover :
                                        1,641,600 PLN","https://desa.pl/en/art-auctions-results/grazyna-kulczyk-collection-passion-markowski-chlanda-szewc/"
"1685315150-31","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Grażyna Kulczyk Collection. Tadeusz Kantor
                            
                            19 October 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1189KOL031
                                    

                                    
                                        Auction turnover :
                                        16,201,800 PLN","https://desa.pl/en/art-auctions-results/grazyna-kulczyk-collection-tadeusz-kantor/"
"1685315150-32","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Grażyna Kulczyk Collection. Avant-garde
                            
                            18 October 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1188KOL030
                                    

                                    
                                        Auction turnover :
                                        16,795,200 PLN","https://desa.pl/en/art-auctions-results/grazyna-kulczyk-collection-avant-garde/"
